"Fab.","Code","A","B","C","thickness","type","temp","obs"
"dragão","DR 19",25.4,60.0,38.0,2.0,"STSR","140º","Carretéis para chapa de 25,4mm"
"dragão","DR 46",28.6,29.5,42.9,2.0,"STSR","140º","Carretéis para chapa de 28,6mm"
"dragão","DR 16",28.6,33.0,42.9,2.0,"STSR","140º","Carretéis para chapa de 28,6mm"
"dragão","DR 47",28.6,38.1,42.9,2.0,"STSR","140º","Carretéis para chapa de 28,6mm"
"dragão","DR 48",28.6,42.1,42.9,2.0,"STSR","140º","Carretéis para chapa de 28,6mm"
"dragão","DR 15",28.6,43.0,42.9,2.0,"STSR","140º","Carretéis para chapa de 28,6mm"
"dragão","DR 99",28.6,45.0,42.9,2.0,"STSR","140º","Carretéis para chapa de 28,6mm"
"dragão","DR 38",28.6,50.0,42.9,2.0,"STSR","140º","Carretéis para chapa de 28,6mm"
"dragão","DR 18",28.6,60.0,42.9,2.0,"STSR","140º","Carretéis para chapa de 28,6mm"
"dragão","DR 50",32.0,22.3,48.0,2.0,"STSR","140º","Carretéis para chapa de 32mm – STSR"
"dragão","DR 33",32.0,28.0,48.0,2.0,"STSR","140º","Carretéis para chapa de 32mm – STSR"
"dragão","DR 51",32.0,32.3,48.0,2.0,"STSR","140º","Carretéis para chapa de 32mm – STSR"
"dragão","DR 52",32.0,40.0,48.0,2.0,"STSR","140º","Carretéis para chapa de 32mm – STSR"
"dragão","DR 49",32.0,45.3,48.0,2.0,"STSR","140º","Carretéis para chapa de 32mm – STSR"
"dragão","DR 53",32.0,52.6,48.0,2.0,"STSR","140º","Carretéis para chapa de 32mm – STSR"
"dragão","DR 56",32.0,55.1,48.0,2.0,"STSR","140º","Carretéis para chapa de 32mm – STSR"
"dragão","DR 54",32.0,59.8,48.0,2.0,"STSR","140º","Carretéis para chapa de 32mm – STSR"
"dragão","DR 89",32.0,66.5,48.0,2.0,"STSR","140º","Carretéis para chapa de 32mm – STSR"
"dragão","DR 55",32.0,69.6,48.0,2.0,"STSR","140º","Carretéis para chapa de 32mm – STSR"
"dragão","DR 133",32.0,38.0,48.0,2.0,"STSR","140º","Carretéis para chapa de 32mm – STSR"
"dragão","DR 185",32.0,22.5,48.0,2.0,"PT","140º","Carretéis para chapa de 32mm – PT"
